Nucleating agent,n_nucleat,n_GdmCl,v_H2O,temperature,Label
none,0,0,4.8,220,MIL-101
none,0,0,4.8,218,MIL-101
NaOH,1,0,5,220,MIL-101
none,0,0,5,200,MIL-101
none,0,0,5,180,MIL-101
none,0,0,5,160,MIL-101
none,0,0,5,130,fail
NaF,1,0,5,130,fail
NaF,1.5,0,5,130,MIL-101
NaF,1.75,0,5,130,MIL-101
NaF,2,0,5,130,MIL-101
NaF,3,0,5,130,fail
NaF,4,0,5,130,fail
NH4F,1,0,5,130,fail
NH4F,1.5,0,5,130,MIL-101
NH4F,1.75,0,5,130,MIL-101
NH4F,2,0,5,130,MIL-101
NH4F,3,0,5,130,fail
NH4F,4,0,5,130,fail
NaOH,1,0,5,130,MIL-101
NaOH,1.5,0,5,130,MIL-101
NaOH,2,0,5,130,fail
NaOH,3,0,5,130,fail
none,0,0,5,120,fail
NaF,1,0,5,120,fail
NaF,1.5,0,5,120,fail
NaF,1.75,0,5,120,MIL-101
NaF,1.75,0,10,120,MIL-101
NaF,1.75,0,15,120,MIL-101
NaF,1.75,0,20,120,MIL-101
NaF,2,0,5,120,MIL-101
NaF,2.5,0,5,120,fail
NaF,3,0,5,120,fail
NaF,4,0,5,120,fail
NaF,5,0,5,120,fail
NaF,1.75,5,5,120,MIL-101
NaF,1.75,10,5,120,MIL-101
NH4F,1,0,5,120,fail
NH4F,1.5,0,5,120,fail
NH4F,1.75,0,5,120,MIL-101
NH4F,1.75,5,5,120,fail
NH4F,1.75,10,5,120,MIL-101
NH4F,2,0,5,120,MIL-101
NH4F,3,0,5,120,fail
NH4F,4,0,5,120,fail
NH4F,5,0,5,120,fail
NaOH,1,0,5,120,fail
NaOH,1.5,0,5,120,fail
NaOH,2,0,5,120,fail
NaOH,3,0,5,120,fail
NaOH,4,0,5,120,fail
NaOH,1,0,10,120,MIL-101
NaOH,1,0,20,120,fail
NaOH,1,5,5,120,MIL-101
NaOH,1,10,5,120,MIL-101
NaOH,1,15,5,120,MIL-101
NaOH,1,20,5,120,fail
none,0,5,40,120,fail
none,0,10,40,120,fail
none,0,15,40,120,fail
none,0,20,40,120,MIL-101
none,0,0,5,110,fail
NaF,1,0,5,110,fail
NaF,1.5,0,5,110,fail
NaF,1.75,0,5,110,fail
NaF,1.75,0,10,110,MIL-101
NaF,1.75,0,15,110,MIL-101
NaF,1.75,0,20,110,fail
NaF,1.75,0,30,110,fail
NaF,2,0,5,110,fail
NaF,2.5,0,5,110,fail
NaF,3,0,5,110,fail
NaF,4,0,5,110,fail
NaF,5,0,5,110,fail
NaF,1.75,5,5,110,fail
NaF,1.75,10,5,110,fail
NaF,1.75,15,5,110,fail
NaF,1.75,20,5,110,fail
NaF,1.75,5,10,110,MIL-101
NaF,1.75,10,10,110,MIL-101
NaF,1.75,15,10,110,MIL-101
NaF,1.75,20,10,110,MIL-101
NaF,1.75,5,15,110,MIL-101
NaF,1.75,10,15,110,MIL-101
NaF,1.75,15,15,110,MIL-101
NaF,1.75,20,15,110,MIL-101
NaF,1.75,5,20,110,MIL-101
NaF,1.75,10,20,110,MIL-101
NaF,1.75,15,20,110,MIL-101
NaF,1.75,20,20,110,fail
NH4F,1,0,5,110,fail
NH4F,1.5,0,5,110,fail
NH4F,1.75,0,5,110,fail
NH4F,1.75,0,10,110,MIL-101
NH4F,1.75,0,15,110,MIL-101
NH4F,1.75,0,20,110,fail
NH4F,2,0,5,110,fail
NH4F,2,0,10,110,MIL-101
NH4F,2,0,15,110,MIL-101
NH4F,2,0,20,110,MIL-101
NH4F,2,0,30,110,fail
NH4F,2,0,40,110,fail
NH4F,3,0,5,110,fail
NH4F,4,0,5,110,fail
NH4F,5,0,5,110,fail
NH4F,1.75,5,5,110,fail
NH4F,1.75,10,5,110,fail
NH4F,1.75,15,5,110,fail
NH4F,1.75,20,5,110,fail
NH4F,1.75,5,10,110,MIL-101
NH4F,1.75,10,10,110,MIL-101
NH4F,1.75,15,10,110,MIL-101
NH4F,1.75,20,10,110,MIL-101
NH4F,2,5,10,110,fail
NH4F,2,10,10,110,fail
NH4F,2,15,10,110,fail
NH4F,2,20,10,110,MIL-101
NH4F,2,10,20,110,MIL-101
NH4F,2,10,30,110,MIL-101
NaOH,1,0,5,110,fail
NaOH,2,0,5,110,fail
NaOH,3,0,5,110,fail
NaOH,4,0,5,110,fail
NaOH,5,0,5,110,fail
NaOH,1,0,10,110,fail
NaOH,1,0,15,110,fail
NaOH,1,0,20,110,fail
NaOH,1,0,20,110,fail
none,0,0,5,100,fail
NaOH,1,0,5,100,fail
NaF,1,0,5,100,fail
NH4F,1,0,5,100,fail
